,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
0,1,Forgotten Gardens,Laura,White,56,Head,Married,Female,Unemployed,None,Christian
1,1,Forgotten Gardens,Elliot,White,57,Husband,Married,Male,"Education officer, community",None,Christian
2,1,Forgotten Gardens,Nicole,White,15,Daughter,NA,Female,Student,None,NA
3,2,Forgotten Gardens,Michelle,John,44,Head,Divorced,Female,"Administrator, arts",None,Christian
4,2,Forgotten Gardens,Jeffrey,John,9,Son,NA,Male,Student,None,NA
5,3,Forgotten Gardens,Emily,Henderson,72,Head,Widowed,Female,Retired Public librarian,Unknown Infection,None
6,4,Forgotten Gardens,Harry,Mills,38,Head,Divorced,Male,Technical brewer,None,Catholic
7,4,Forgotten Gardens,Gerard,Mills,5,Son,NA,Male,Student,None,NA
8,4,Forgotten Gardens,Anna,Mills,5,Daughter,NA,Female,Student,None,NA
9,4,Forgotten Gardens,Leslie,Jones,3,Son,NA,Male,Child,None,NA
10,5,Forgotten Gardens,Molly,Conway,38,Head,Married,Female,"Education officer, museum",None,None
11,5,Forgotten Gardens,Rhys,Conway,41,Husband,Married,Male,Unemployed,None,None
12,5,Forgotten Gardens,Kim,Conway,13,Daughter,NA,Female,Student,None,NA
13,6,Forgotten Gardens,Samantha,Lewis,73,Head,Divorced,Female,Retired Brewing technologist,None,Christian
14,6,Forgotten Gardens,Rebecca,Lewis,45,Daughter,Single,Female,"Research officer, trade union",None,None
15,6,Forgotten Gardens,Charles,Lewis,41,Son,Divorced,Male,"Surveyor, minerals",None,None
16,6,Forgotten Gardens,Chelsea,Lewis,38,Daughter,Single,Female,Analytical chemist,None,Christian
17,6,Forgotten Gardens,Derek,Walsh-Lewis,36,Son,Single,Male,"Designer, fashion/clothing",None,Christian
18,7,Forgotten Gardens,Kate,Jones,51,Head,Single,Female,Wellsite geologist,None,Christian
19,7,Forgotten Gardens,Harry,Hughes,23,None,Single,Male,Maintenance engineer,None,None
20,7,Forgotten Gardens,Colin,Wells,33,None,Single,Male,Television production assistant,None,Catholic
21,8,Forgotten Gardens,Catherine,Cox,38,Head,Divorced,Female,Unemployed,None,None
22,8,Forgotten Gardens,Anne,Cox,4,Daughter,NA,Female,Child,None,NA
23,8,Forgotten Gardens,Harry,Fletcher-Cox,0,Son,NA,Male,Child,None,NA
24,9,Forgotten Gardens,Hollie,Robinson,30,Head,Divorced,Female,Unemployed,None,Catholic
25,9,Forgotten Gardens,Ellie,Robinson,6,Daughter,NA,Female,Student,None,NA
26,9,Forgotten Gardens,Danielle,Robinson,2,Daughter,NA,Female,Child,None,NA
27,9,Forgotten Gardens,Maureen,Robinson,2,Daughter,NA,Female,Child,None,NA
28,10,Forgotten Gardens,Karl,Green,21,Head,Single,Male,University Student,None,Catholic
29,10,Forgotten Gardens,Leon,Ward,28,None,Single,Male,"Programmer, applications",None,None
30,10,Forgotten Gardens,Lydia,Pritchard,27,None,Single,female,Lobbyist,None,Methodist
31,11,Forgotten Gardens,Sophie,Hughes,28,Head,Divorced,Female,Forest/woodland manager,None,None
32,11,Forgotten Gardens,Stanley,Hughes,6,Son,NA,Male,Student,None,NA
33,11,Forgotten Gardens,Sandra,Hughes,5,Daughter,NA,Female,Student,None,NA
34,11,Forgotten Gardens,Bradley,Hughes,3,Son,NA,Male,Child,None,NA
35,1,Quayside Drive,Jasmine,Knowles,83,Head,Married,Female,Retired Armed forces technical officer,None,Methodist
36,1,Quayside Drive,Tom,Knowles,85,Husband,Married,Male,"Retired Geologist, engineering",None,None
37,2,Quayside Drive,Owen,Burke,21,Head,Married,Male,University Student,None,None
38,2,Quayside Drive,Josephine,Burke,19,Wife,Married,Female,University Student,None,None
39,3,Quayside Drive,Arthur,Bennett,21,Head,Single,Male,University Student,None,None
40,4,Quayside Drive,Kate,Morgan,40,Head,Widowed,Female,"Psychologist, clinical",None,Catholic
41,4,Quayside Drive,Melanie,Morgan,16,Daughter,NA,female,Student,None,NA
42,4,Quayside Drive,Samuel,Morgan,16,Son,NA,Male,Student,None,NA
43,4,Quayside Drive,Joanne,Morgan,16,Daughter,NA,Female,Student,None,NA
44,5,Quayside Drive,Amber,Rogers,89,Head,Divorced,Female,"Retired Designer, fashion/clothing",None,None
45,6,Quayside Drive,Teresa,Wilson,65,Head,Divorced,Female,Industrial buyer,None,None
46,7,Quayside Drive,Jenna,Morgan,47,Head,Single,Female,"Psychologist, prison and probation services",None,Catholic
47,7,Quayside Drive,Frank,Knight,20,None,Single,Male,University Student,None,None
48,8,Quayside Drive,Neil,Smith,68,Head,Married,Male,"Retired Designer, fashion/clothing",None,Catholic
49,8,Quayside Drive,Nicola,Smith,66,Wife,Married,Female,Medical secretary,None,None
50,9,Quayside Drive,Hayley,Smith,37,Head,Married,Female,Geophysicist/field seismologist,None,Christian
51,9,Quayside Drive,Frank,Smith,32,Husband,Married,Male,"Copywriter, advertising",None,Christian
52,9,Quayside Drive,Dorothy,Smith,16,Daughter,NA,Female,Student,None,NA
53,9,Quayside Drive,Ann,Poole-Smith,14,Daughter,NA,Female,Student,None,NA
54,9,Quayside Drive,Marie,Poole-Smith,10,Daughter,NA,Female,Student,None,NA
55,10,Quayside Drive,Janice,Smith,86,Head,Married,Female,Retired Neurosurgeon,None,Catholic
56,10,Quayside Drive,Dylan,Smith,89,Husband,Married,Male,Retired IT technical support officer,None,Catholic
57,11,Quayside Drive,Angela,Jones,69,Head,Divorced,Female,Retired Health and safety adviser,None,Christian
58,12,Quayside Drive,Rachael,Pearce,56,Head,Married,Female,"Psychotherapist, dance movement",None,Christian
59,12,Quayside Drive,Bernard,Pearce,58,Husband,Married,Male,"Pharmacist, hospital",None,Christian
60,12,Quayside Drive,Gregory,Pearce,22,Son,Single,Male,University Student,None,Christian
61,13,Quayside Drive,Mohamed,Stevens,57,Head,Single,Male,Unemployed,None,Christian
62,13,Quayside Drive,Vanessa,Edwards,59,Partner,Single,Female,Armed forces technical officer,None,Christian
63,14,Quayside Drive,Irene,Saunders,33,Head,Single,Female,Geophysical data processor,None,None
64,15,Quayside Drive,Geraldine,Holmes,38,Head,Divorced,Female,"Journalist, magazine",None,Catholic
65,16,Quayside Drive,Iain,Davies,38,Head,Single,Male,Museum education officer,None,None
66,16,Quayside Drive,Helen,Elliott,63,None,Single,Female,Sport and exercise psychologist,None,Christian
67,16,Quayside Drive,Lawrence,Evans,46,None,Single,Male,Chief Marketing Officer,None,None
68,16,Quayside Drive,Connor,Thomas,44,None,Single,Male,Professor Emeritus,None,None
69,17,Quayside Drive,Lesley,Davis,19,Head,Divorced,Female,Unemployed,Blind,None
70,17,Quayside Drive,Douglas,Chapman-Davis,0,Son,NA,Male,Child,None,NA
71,17,Quayside Drive,Reece,Brown,39,Lodger,Single,M,Acupuncturist,None,Christian
72,17,Quayside Drive,Glen,Bennett,53,Lodger,Single,Male,Radio broadcast assistant,None,None
73,17,Quayside Drive,Abbie,Ford,41,Lodger,Single,Female,Magazine features editor,None,Catholic
74,17,Quayside Drive,Aimee,Ward,39,Sibling,Single,Female,Glass blower/designer,None,None
75,18,Quayside Drive,Sarah,Dunn,66,Head,Widowed,Female,"Production assistant, radio",None,None
76,1,Fish Harbor,Kathryn,Taylor,44,Head,Married,Female,Broadcast presenter,None,None
77,1,Fish Harbor,Jason,Taylor,42,Husband,Married,Male,Sport and exercise psychologist,None,Catholic
78,1,Fish Harbor,Joshua,Taylor,13,Son,NA,m,Student,None,NA
79,1,Fish Harbor,Craig,Taylor,12,Son,NA,Male,Student,None,NA
80,1,Fish Harbor,Rosie,Taylor,8,Daughter,NA,Female,Student,None,NA
81,1,Fish Harbor,Aimee,Taylor,6,Daughter,NA,Female,Student,None,NA
82,2,Fish Harbor,Clive,Davies,36,Head,Widowed,Male,"Scientist, research (physical sciences)",None,Christian
83,2,Fish Harbor,Amelia,Davies,1,Daughter,NA,Female,Child,None,NA
84,2,Fish Harbor,Denis,Davies,0,Son,NA,Male,Child,None,NA
85,3,Fish Harbor,Nicola,Heath,21,Head,Married,Female,Tax adviser,None,None
86,3,Fish Harbor,Derek,Heath,24,Husband,Married,m,Broadcast engineer,None,None
87,4,Fish Harbor,Dawn,Wilkins,50,Head,Married,Female,Manufacturing engineer,None,Catholic
88,4,Fish Harbor,Marc,Wilkins,57,Husband,Married,Male,Unemployed,None,Catholic
89,4,Fish Harbor,Stephanie,Wilkins,26,Daughter,Single,Female,Ophthalmologist,None,None
90,4,Fish Harbor,Marilyn,Wilkins,22,Daughter,Single,Female,University Student,None,Catholic
91,5,Fish Harbor,Leon,Lord,70,Head,Single,Male,Retired Printmaker,None,Christian
92,5,Fish Harbor,Mary,Lord,46,Daughter,Single,Female,Legal executive,None,Christian
93,5,Fish Harbor,Richard,Lord,45,Son,Single,Male,Lobbyist,None,Christian
94,5,Fish Harbor,Lucy,Lord,45,Daughter,Single,Female,Hospital doctor,None,None
95,5,Fish Harbor,Donna,Lord,38,Daughter,Divorced,Female,Publishing copy,None,Christian
96,6,Fish Harbor,Justin,Begum,56,Head,Married,Male,"Engineer, production",None,Christian
97,6,Fish Harbor,Jade,Begum,54,Wife,Married,female,Unemployed,None,Christian
98,7,Fish Harbor,Georgia,Johnson,39,Head,Married,Female,"Programmer, multimedia",None,Catholic
99,7,Fish Harbor,Craig,Johnson,43,Husband,Married,Male,"Nurse, adult",None,Catholic
100,7,Fish Harbor,Glenn,Johnson,4,Son,NA,Male,Child,None,NA
101,7,Fish Harbor,David,Stone,0,Son,NA,Male,Child,None,NA
102,8,Fish Harbor,Barry,Fleming,59,Head,Married,Male,Psychotherapist,None,Christian
103,8,Fish Harbor,Hayley,Fleming,58,Wife,Married,Female,Sports therapist,None,None
104,9,Fish Harbor,Amelia,Miller,57,Head,Married,Female,Animal nutritionist,None,Christian
105,9,Fish Harbor,Patrick,Miller,60,Husband,Married,Male,Best boy,None,Christian
106,9,Fish Harbor,Katy,Miller,22,Daughter,Single,Female,University Student,None,None
107,9,Fish Harbor,Albert,Miller,18,Son,Single,Male,Student,Disabled,None
108,9,Fish Harbor,Jeremy,Miller,11,Son,NA,Male,Student,None,NA
109,9,Fish Harbor,Dennis,Miller,9,Son,NA,Male,Student,None,NA
110,10,Fish Harbor,Ann,Long,29,Head,Divorced,Female,Health and safety adviser,None,Methodist
111,10,Fish Harbor,Judith,Palmer,37,Lodger,Divorced,Female,Product/process development scientist,None,Christian
112,10,Fish Harbor,Marilyn,Wood,59,Lodger,Single,Female,Electronics engineer,None,Christian
113,10,Fish Harbor,Arthur,Green,58,Lodger,Divorced,Male,Microbiologist,None,Christian
114,10,Fish Harbor,Sian,Storey,53,Lodger,Divorced,Female,Personnel officer,None,Christian
115,11,Fish Harbor,Lesley,Marsh,73,Head,Married,Female,Retired Sports development officer,None,Christian
116,11,Fish Harbor,Jay,Marsh,76,Husband,Married,M,Retired Advice worker,None,None
117,11,Fish Harbor,Victoria,Marsh,38,Daughter,Divorced,Female,Intelligence analyst,None,Christian
118,11,Fish Harbor,Nicole,Marsh,36,Daughter,Single,Female,Financial risk analyst,None,Christian
119,12,Fish Harbor,Glenn,Evans,69,Head,Married,Male,Retired Chief Strategy Officer,None,Catholic
120,12,Fish Harbor,Mary,Evans,64,Wife,Married,Female,English as a foreign language teacher,None,Catholic
121,13,Fish Harbor,Dennis,Powell,45,Head,Married,Male,Risk manager,None,Catholic
122,13,Fish Harbor,Amy,Powell,45,Wife,Married,Female,Clinical psychologist,None,None
123,13,Fish Harbor,Lindsey,Powell,20,Daughter,Single,Female,University Student,None,Catholic
124,13,Fish Harbor,Hugh,Powell,20,Son,Single,Male,University Student,None,None
